Station,amplitude_1cpd,amplitude_2cpd,category_1cpd,category_2cpd,NAME_C,TM_X97,TM_Y97,station id
9030411,0.0007528869222342498,0.00295409116476104,low,low,拯民,190386.13,2622753.289,w49
9180311,0.07816247336357507,0.01100339043299135,high,medium,明德(1),168314.218,2616814.305,w50
9030211,0.14408683900749045,0.018941777061926034,high,high,芳草(1),186177.783,2623977.257,w51
9130111,0.03758250906117629,0.025854332463520494,high,high,後安(1),172024.615,2631889.287,w52
7170211,0.017970096707651498,0.003371570327330676,high,low,社頭(1),208633.055,2644081.212,w53
7120111,0.0008137685691736562,0.0035795911154990817,low,low,田中(1),207917.059,2638982.231,w54
7110111,0.06132650991436813,0.009496334776407767,high,medium,溪湖(1),196961.117,2649571.724,w55
7230211,0.038912610725646724,0.013623749416973181,high,medium,漢寶(1),184111.144,2655941.161,w56
9040211,0.1843869286797627,0.03712732673929867,high,high,九隆(1),191995.896,2627574.35,w57
7060111,0.013043933541482533,0.007965415126035097,medium,medium,文昌(1),190949.118,2656044.163,w58
7170111,0.014820031504449811,0.002557808492358152,medium,low,崙雅(1),208589.056,2642616.217,w59
9070211,0.00403260873435164,0.0033101570870060757,low,low,崁腳(1),202850.084,2612172.333,w60
9150111,0.0011626046837878573,0.0009287097836895559,low,low,田洋(1),179546.171,2624783.278,w61
9080111,0.06535249087016975,0.01633699672219505,high,medium,嘉興(1),194863.115,2616165.316,w62
