,Rainfall (mm),GWL (m),AMP,AMT
2012-01-01,0.0,-3.0237499999999997,0.04581477450395778,0.08026801963269269
2012-01-02,0.0,-3.0229166666666667,0.04581477450395778,0.08026801963269269
2012-01-03,0.0,-3.294583333333333,0.04581477450395778,0.08026801963269269
2012-01-04,0.0,-3.532083333333333,0.04581477450395778,0.08026801963269269
2012-01-05,2.0,-3.7770833333333336,0.04581477450395778,0.08026801963269269
2012-01-06,4.5,-3.81375,0.04581477450395778,0.08026801963269269
2012-01-07,0.0,-3.6966666666666668,0.04581477450395778,0.08026801963269269
2012-01-08,0.0,-3.098333333333333,0.04581477450395778,0.08026801963269269
2012-01-09,0.0,-3.0516666666666663,0.04581477450395778,0.08026801963269269
2012-01-10,0.0,-3.5120833333333334,0.04581477450395778,0.08026801963269269
2012-01-11,0.0,-3.622083333333333,0.04581477450395778,0.08026801963269269
2012-01-12,0.0,-3.73625,0.04581477450395778,0.08026801963269269
2012-01-13,0.0,-3.714166666666667,0.04581477450395778,0.08026801963269269
2012-01-14,1.0,-2.9625,0.04581477450395778,0.08026801963269269
2012-01-15,4.5,-2.525,0.04581477450395778,0.08026801963269269
2012-01-16,11.0,-2.842083333333333,0.027238984202487642,0.07261991447071407
2012-01-17,0.0,-3.2929166666666667,0.025805349980857234,0.07311554683804328
2012-01-18,0.0,-3.4241666666666664,0.024371715759226822,0.0736111792053725
2012-01-19,0.0,-3.21625,0.022938081537596414,0.0741068115727017
2012-01-20,0.0,-3.1616666666666666,0.021504447315966003,0.07460244394003092
2012-01-21,0.0,-2.377083333333333,0.020688203829911784,0.074799232270985
2012-01-22,5.0,-2.0941666666666667,0.020543037230353414,0.0746711901276183
2012-01-23,3.0,-2.0075,0.020397870630795043,0.0745431479842516
2012-01-24,5.5,-1.83125,0.020252704031236676,0.0744151058408849
2012-01-25,1.0,-1.7841666666666667,0.02010753743167831,0.0742870636975182
2012-01-26,0.0,-1.7275,0.021155528264182388,0.07413692257945083
2012-01-27,0.0,-1.705,0.023500429348928254,0.0739627608367088
2012-01-28,0.0,-1.7604166666666667,0.02584533043367412,0.07378859909396679
2012-01-29,0.0,-1.7241666666666668,0.028190231518419987,0.07361443735122476
2012-01-30,0.0,-2.20125,0.030535132603165857,0.07344027560848275
2012-01-31,0.0,-2.7925,0.03304876032820569,0.07328587635327215
2012-02-01,0.0,-3.045,0.03574578657530418,0.0731529580627696
2012-02-02,0.0,-3.1225,0.038442812822402674,0.07302003977226706
2012-02-03,0.0,-3.3658333333333332,0.041139839069501166,0.07288712148176453
2012-02-04,0.0,-3.3520833333333333,0.04383686531659966,0.07275420319126198
2012-02-05,0.0,-3.03375,0.045720915469854406,0.07292464451809336
2012-02-06,0.0,-3.377916666666667,0.0467212959558877,0.07342482455941811
2012-02-07,9.0,-3.5508333333333333,0.04772167644192099,0.07392500460074286
2012-02-08,3.5,-3.6879166666666667,0.04872205692795428,0.07442518464206761
2012-02-09,0.0,-3.6479166666666667,0.049722437413987575,0.07492536468339236
2012-02-10,0.0,-3.5908333333333338,0.0496636072688148,0.07531632206433699
2012-02-11,0.0,-3.08,0.048453461220157173,0.07558855916225975
2012-02-12,0.0,-3.200416666666667,0.047243315171499545,0.07586079626018251
2012-02-13,0.0,-3.690416666666667,0.046033169122841916,0.07613303335810527
2012-02-14,0.0,-3.6679166666666667,0.04482302307418429,0.07640527045602802
2012-02-15,0.0,-3.5591666666666666,0.043646139848077664,0.07652052164059205
2012-02-16,0.0,-3.605,0.0425054118638743,0.07646513596280961
2012-02-17,0.0,-3.5370833333333334,0.041364683879670947,0.07640975028502718
2012-02-18,0.0,-3.120416666666667,0.04022395589546759,0.07635436460724475
